"NTSB_RPRT_NBR","ACFT_REGIST_NBR","ACFT_SERIAL_NBR","EV_TYPE_DESC","EVENT_LCL_DATE","LOC_STATE_CODE_STD","ARPT_NAME_STD","FLTCNDCT_DESC","OPRTR_SCHED_DESC","OPRTR_NSDC_NAME_STD","ACFT_NSDC_MAKE_STD","ACFT_NSDC_MODEL_STD","ACFT_NSDC_SERIES_STD","REPORT_STATUS","INJURY_DESC","FLIGHT_PHASE_DESC"
"FTW88LA149","N89271","15282695","ACCIDENT","20-AUG-88","OK","ADA MUNICIPAL","PART 91: GENERAL AVIATION","","JET CENTER TULSA INC","CESSNA","152","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW88LA150","N18460","14320T","ACCIDENT","21-AUG-88","TX","SHILLING","PART 91: GENERAL AVIATION","","","AERONCA","65TL","NO SERIES EXISTS","FINAL","MINOR","DESCENT"
"FTW88LA152","N2264U","426","ACCIDENT","25-AUG-88","OK","SALLISAW MUNI","PART 91: GENERAL AVIATION","","","BRANTLY","B2","B","FINAL","NONE","HOVER"
"FTW88LA153","N16962","236Z","ACCIDENT","18-AUG-88","TX","HOUSTON OIL & MINERALS SMITH POINT","PART 91: GENERAL AVIATION","","HOUSTON HELICOPTERS INC","BELL","206","B","FINAL","NONE","LANDING"
"FTW88LA154","N6588Q","A88","ACCIDENT","27-AUG-88","OK","GUTHRIE MUNICIPAL","PART 91: GENERAL AVIATION","","","ERCOUPE","A2","UNDESIGNATED SERIES","FINAL","NONE","LANDING"
"FTW88LA155","N444FF","2508","ACCIDENT","26-AUG-88","TX","","PART 91: GENERAL AVIATION","","","HELIO","H250","NO SERIES EXISTS","FINAL","NONE","LANDING"
"FTW88LA156","N7746U","17251746","ACCIDENT","27-AUG-88","TX","","PART 91: GENERAL AVIATION","","GATLIN AVIATION","CESSNA","172","E","FINAL","MINOR","LANDING"
"FTW88LA157","N704SB","15078828","ACCIDENT","28-AUG-88","TX","MUNICIPAL","PART 91: GENERAL AVIATION","","","CESSNA","150","M","FINAL","NONE","DESCENT"
"FTW88LA158","N5747Z","3127","ACCIDENT","01-SEP-88","GM","","PART 91: GENERAL AVIATION","","PETROLEUM HELICOPTERS","BELL","206","B","FINAL","MINOR","DESCENT"
"FTW88LA159","N9730G","18052230","ACCIDENT","01-SEP-88","LA","WELSH","PART 91: GENERAL AVIATION","","","CESSNA","180","H","FINAL","NONE","LANDING"
"FTW88LA163","N6208L","AA1B-0008","ACCIDENT","05-SEP-88","TX","WESTHEIMER AIR PARK","PART 91: GENERAL AVIATION","","","GRUMMAN","AA1","B","FINAL","NONE","LANDING"
"FTW88LA166","N4683R","28-21442","ACCIDENT","28-SEP-88","TX","SYCAMORE","PART 91: GENERAL AVIATION","","","PIPER","PA28","140","FINAL","NONE","LANDING"
"FTW88LA167","N9811N","190","ACCIDENT","18-JAN-88","TX","","PART 91: GENERAL AVIATION","","","ADAMS BALLOON","A60S","NO SERIES EXISTS","FINAL","SERIOUS","LANDING"
"FTW88MA021","N3411","31","ACCIDENT","28-OCT-87","OK","FRANK PHILLIPS","PART 121: AIR CARRIER","NON-SCHEDULED","SMB STAGE LINE INC","CONVAIR","640","NO SERIES EXISTS","FINAL","MINOR","LANDING"
"FTW88MA047","N79SF","041","ACCIDENT","08-JAN-88","LA","MONROE REG.","PART 135: AIR TAXI & COMMUTER","NON-SCHEDULED","PHOENIX AIR GROUP INC","LEARJET","36","A","FINAL","FATAL","APPROACH"
"FTW88MA048","XAKUT","256028","ACCIDENT","18-JAN-88","TX","HOBBY","PART 91: GENERAL AVIATION","","AERO ASTRA S A DE C V","HAWKER SIDDELEY","HS125","600A","FINAL","FATAL","APPROACH"
"FTW88MA083","N411AE","671","ACCIDENT","25-MAR-88","TX","DECATUR MUNI","PART 91: GENERAL AVIATION","","CHAPARRAL AIRLINES INC","BAE","JETSTREAM3100","3101","FINAL","NONE","LANDING"
"FTW88NA106","N136AA","47846","ACCIDENT","21-MAY-88","TX","DALLAS-FORT WORTH INT'L","PART 121: AIR CARRIER","SCHEDULED","AMERICAN AIRLINES INC","MCDONNELL DOUGLAS","DC10","30","FINAL","SERIOUS","TAKEOFF"
"FTW89DPA01","N151JS","001","ACCIDENT","01-OCT-88","TX","AERO COUNTRY","PART 91: GENERAL AVIATION","","","CHAMPION","8KCAB","NO SERIES EXISTS","FINAL","MINOR","LANDING"
"FTW89DPA02","N8349","062","ACCIDENT","17-OCT-88","TX","FLYING S RANCH","PART 91: GENERAL AVIATION","","","PILATUS","B4","PC11","FINAL","MINOR","LANDING"
"FTW89DPA03","N74124","WH-5009","ACCIDENT","02-DEC-88","TX","","PART 91: GENERAL AVIATION","","","BELL","47D","1","FINAL","SERIOUS","LANDING"
"FTW89DPA04","N51VP","44-73142","ACCIDENT","06-SEP-89","TX","DENTON MUNICIPAL","PART 91: GENERAL AVIATION","","","NORTH AMERICAN","P51","UNDESIGNATED SERIES","FINAL","FATAL","DESCENT"
"FTW89DPJ01","N137A","1376","ACCIDENT","10-OCT-88","OK","","PART 91: GENERAL AVIATION","","","","","","FINAL","FATAL","DESCENT"
